image,bbox,confidence,ocr_text,poi_name
CAoSF0NJSE0wb2dLRUlDQWdJRGFtYkw5bGdF.jpg,"[426.2078552246094, 346.130859375, 442.8694152832031, 391.2294921875]",0.6865113973617554,,
CAoSF0NJSE0wb2dLRUlDQWdJRGFtYkw5bGdF.jpg,"[402.6773376464844, 343.6788330078125, 417.7287292480469, 389.4686279296875]",0.6358309388160706,,
CAoSF0NJSE0wb2dLRUlDQWdJRGFtYkw5bGdF.jpg,"[0.0, 396.96978759765625, 28.881900787353516, 571.7308959960938]",0.33425047993659973,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[31.471054077148438, 247.958984375, 169.77467346191406, 370.0489501953125]",0.8169599175453186,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[406.73785400390625, 430.7022705078125, 482.30169677734375, 560.114013671875]",0.7404741644859314,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[301.0440673828125, 423.37884521484375, 369.68914794921875, 557.3062133789062]",0.7174627780914307,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[483.9671630859375, 484.79864501953125, 622.9666748046875, 539.6213989257812]",0.7048198580741882,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[512.10693359375, 435.2427978515625, 593.933349609375, 501.1839599609375]",0.5826742053031921,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[576.318359375, 327.9742431640625, 636.0223388671875, 389.281982421875]",0.5580015182495117,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[90.61177825927734, 403.8143310546875, 214.85025024414062, 521.584228515625]",0.47345951199531555,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[184.40631103515625, 420.99652099609375, 269.4737854003906, 565.097412109375]",0.4214217960834503,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[90.97238159179688, 428.04962158203125, 190.01199340820312, 519.4763793945312]",0.40625205636024475,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[207.47882080078125, 346.1378479003906, 226.23690795898438, 382.6330261230469]",0.3894819915294647,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[362.83544921875, 426.9671630859375, 405.7137451171875, 515.2481689453125]",0.38420549035072327,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[482.1753845214844, 532.5267333984375, 639.3170166015625, 639.2733154296875]",0.3686799705028534,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[208.09262084960938, 359.69110107421875, 225.12271118164062, 382.85955810546875]",0.32949742674827576,,
CAoSF0NJSE0wb2dLRUlDQWdJRDQ4OWl5aFFF.jpg,"[185.4544677734375, 339.8815612792969, 226.0257568359375, 382.0600891113281]",0.3212543725967407,,
kOyA3Ln4Tq1hjptuQ-miLQ.jpg,"[539.896728515625, 376.74371337890625, 602.60400390625, 477.06781005859375]",0.8089118599891663,,
kOyA3Ln4Tq1hjptuQ-miLQ.jpg,"[378.1390380859375, 339.81195068359375, 490.984375, 452.9649658203125]",0.7040917277336121,,
kOyA3Ln4Tq1hjptuQ-miLQ.jpg,"[443.83319091796875, 321.225830078125, 639.8004760742188, 446.7445068359375]",0.5818577408790588,,
3WOIGCuncxqkxngpAlN1zQ.jpg,"[322.804931640625, 302.447021484375, 544.3534545898438, 506.963134765625]",0.740302562713623,,
CAoSFkNJSE0wb2dLRUlDQWdJQ09zTHJuU1E..jpg,"[507.16546630859375, 356.35125732421875, 550.3151245117188, 390.65594482421875]",0.6853299140930176,,
CAoSFkNJSE0wb2dLRUlDQWdJQ09zTHJuU1E..jpg,"[489.981689453125, 46.27204895019531, 603.2542724609375, 144.00489807128906]",0.3620136082172394,,
CAoSFkNJSE0wb2dLRUlDQWdJQ09zTHJuU1E..jpg,"[302.57281494140625, 336.42523193359375, 324.05987548828125, 356.14703369140625]",0.3208877444267273,,
3hA24tgCQ8YeGXKULi7-8g.jpg,"[597.13525390625, 342.19549560546875, 639.860595703125, 577.6566162109375]",0.794403076171875,,
3hA24tgCQ8YeGXKULi7-8g.jpg,"[300.171630859375, 337.9881591796875, 354.207763671875, 382.8687744140625]",0.637951672077179,,
3hA24tgCQ8YeGXKULi7-8g.jpg,"[329.3550720214844, 311.48516845703125, 373.7720031738281, 363.011474609375]",0.5720733404159546,,
3hA24tgCQ8YeGXKULi7-8g.jpg,"[53.704071044921875, 351.162841796875, 85.96525573730469, 367.46875]",0.5004354119300842,,
